Record #,Field Office ,Allegation ,Date Case Opened,Year,Final Disposition
2,HOU ,Failure to Follow Procedure ,11/6/2002,2002,Verbal Counsel
7,DAL ,Unprofessional Conduct ,11/12/2002,2002,Suspension - 1 Day
13,MSP ,Loss of Equipment ,11/12/2002,2002,Letter of Counsel
27,LAS ,Failure to Honor Just Debts ,11/1/2002,2002,Verbal Counsel
46,LAS ,Failure to Honor Just Debts ,11/23/2002,2002,Resignation
52,DET ,Failure to Follow Procedure ,11/5/2002,2002,Verbal Counsel
62,CHI ,Loss of Equipment ,11/18/2002,2002,Verbal Counsel
65,,Sleeping on Duty ,11/1/2002,2002,Resignation
66,NYC ,Unprofessional Conduct ,11/12/2002,2002,Verbal Counsel
67,MIA ,Loss of Equipment ,11/4/2002,2002,Letter of Reprimand
68,DEN ,Loss of Equipment ,11/4/2002,2002,Verbal Counsel
69,LAX ,Failure to Follow Procedure ,11/20/2002,2002,Verbal Counsel
70,LAX ,Unprofessional Conduct ,11/4/2002,2002,Verbal Counsel
71,HOU ,Missed Mission ,11/7/2002,2002,Verbal Counsel
72,LAX ,Failure to Follow Procedure ,11/20/2002,2002,Verbal Counsel
73,HOU ,Unprofessional Conduct ,11/8/2002,2002,Letter of Counsel
74,MIA ,Failure to Follow Procedure ,11/25/2002,2002,Resignation
75,CHI ,Alcohol Policy Violation ,11/18/2002,2002,Verbal Counsel
76,DET ,Loss of Equipment ,11/14/2002,2002,Suspension - 2 Day
78,LAS ,Failure to Honor Just Debts ,11/20/2002,2002,Suspension - 5 Day
79,,Sleeping on Duty ,11/18/2002,2002,Resignation
80,HOU ,Missed Mission ,11/19/2002,2002,Letter of Counsel
81,HOU ,Unprofessional Conduct ,11/18/2002,2002,Removal
82,HOU ,Missed Mission ,11/20/2002,2002,Letter of Counsel
83,,Misuse of Government Travel Card ,11/20/2002,2002,Resignation
84,ATL ,Failure to Follow Procedure ,11/23/2002,2002,Verbal Counsel
85,CHI ,Loss of Equipment ,11/21/2002,2002,Verbal Counsel
86,ATL ,Failure to Honor Just Debts ,11/22/2002,2002,Resignation
87,NYC ,Unprofessional Conduct ,11/20/2002,2002,Suspension - 14 Day
89,LAX ,Unprofessional Conduct ,11/25/2002,2002,Letter of Counsel
90,NWK ,Victim Case ,12/3/2002,2002,No Further Action
91,NWK ,Failure to Follow Procedure ,11/26/2002,2002,Removal
92,NYC ,Criminal Conduct ,11/26/2002,2002,Resignation
93,CHI ,Failure to Follow Procedure ,11/29/2002,2002,Resignation
94,CHI ,Failure to Honor Just Debts ,12/5/2002,2002,Resignation
95,DEN ,Criminal Arrest ,12/2/2002,2002,Suspension - 5 Day
96,DEN ,Unprofessional Conduct ,12/6/2002,2002,Verbal Counsel
97,LAS ,Unprofessional Conduct ,12/5/2002,2002,No Further Action
98,HOU ,Failure to Follow Instruction ,12/4/2002,2002,Letter of Counsel
99,NYC ,Failure to Follow Instruction ,12/6/2002,2002,Letter of Counsel
100,NWK ,Loss of Equipment ,12/13/2002,2002,No Further Action
101,HOU ,Failure to Follow Procedure ,12/13/2002,2002,Resignation
102,DEN ,Failure to Follow Procedure ,12/16/2002,2002,Verbal Counsel
103,MIA ,Loss of Equipment ,12/13/2002,2002,Letter of Reprimand
104,MIA ,Loss of Equipment ,12/16/2002,2002,Letter of Reprimand
105,MIA ,Unprofessional Conduct ,12/23/2002,2002,Resignation
106,ORL,Unprofessional Conduct ,12/13/2002,2002,Verbal Counsel
107,ORL ,Missed Mission ,12/17/2002,2002,Resignation
108,CHI ,Unintentional Discharge of Firearm ,12/17/2002,2002,Removal
109,LAX ,Failure to Follow Procedure ,12/18/2002,2002,Verbal Counsel
110,LAX ,Making Misstatements/False ,12/23/2002,2002,Letter of Counsel
111,MIA ,Misuse of Government Travel Card ,12/23/2002,2002,Resignation
112,CHI ,Loss of Equipment ,12/28/2002,2002,Verbal Counsel
113,MIA ,Miscellaneous ,11/24/2002,2002,No Further Action
114,MIA ,Unprofessional Conduct ,12/31/2002,2002,Removal
115,MIA ,Loss of Equipment ,12/26/2002,2002,Verbal Counsel
116,DAL,Failure to Follow Procedure ,12/17/2002,2002,Verbal Counsel
117,BOS ,Loss of Equipment ,1/2/2003,2003,Verbal Counsel
118,DAL ,Unprofessional Conduct ,12/24/2002,2002,Verbal Counsel
119,LAX ,Miscellaneous ,12/31/2002,2002,Verbal Counsel
120,LAX ,Miscellaneous ,12/31/2002,2002,Verbal Counsel
121,CHI ,Failure to Follow Procedure ,1/3/2003,2003,No Further Action
122,MIA ,Loss of Equipment ,1/3/2003,2003,Verbal Counsel
123,NYC ,Making Misstatements/False ,12/21/2002,2002,Removal
124,CHI ,Failure to Follow Procedure ,1/3/2003,2003,No Further Action
125,NYC ,Criminal Conduct ,11/20/2002,2002,No Further Action
127,DAL ,Unprofessional Conduct ,12/30/2002,2002,No Further Action
128,HOU ,Abuse of Position/Authority ,12/18/2002,2002,Removal
129,NYC ,Failure to Follow Procedure ,1/6/2003,2003,Verbal Counsel
130,NYC ,Failure to Follow Procedure ,1/6/2003,2003,Verbal Counsel
131,PHL ,Failure to Follow Procedure ,1/7/2003,2003,No Further Action
132,PHL ,Failure to Follow Procedure ,1/7/2003,2003,No Further Action
133,DAL ,Unprofessional Conduct ,12/17/2002,2002,No Further Action
134,DAL ,Unprofessional Conduct ,12/17/2002,2002,No Further Action
136,SEA ,Death ,12/30/2002,2002,No Further Action
138,SEA ,Loss of Equipment ,1/8/2003,2003,No Further Action
139,CIN ,Failure to Follow Procedure ,12/27/2002,2002,No Further Action
140,CIN,Failure to Follow Procedure ,12/27/2002,2002,No Further Action
141,LAS ,Loss of Equipment ,1/13/2003,2003,Suspension - 1 Day
142,LAS ,Criminal Arrest ,1/7/2003,2003,Removal
143,ATL ,Miscellaneous ,1/6/2003,2003,No Further Action
144,WFO ,Failure to Follow Procedure ,1/10/2003,2003,No Further Action
145,DET ,Missed Mission ,1/10/2003,2003,Removal
147,MIA ,Loss of Equipment ,1/8/2003,2003,Verbal Counsel
148,DAL,Misuse of Government Property ,12/18/2002,2002,Suspension - 2 Day
149,CIN ,Failure to Follow Procedure ,1/13/2003,2003,Verbal Counsel
151,DAL ,Miscellaneous ,1/7/2003,2003,Removal
152,CLT ,Unintentional Discharge of Firearm ,1/21/2003,2003,Letter of Reprimand
153,NYC ,Misuse of Government Travel Card ,1/14/2003,2003,Resignation
154,MIA ,Sleeping on Duty ,1/10/2003,2003,Letter of Reprimand
155,MIA ,Security/Safety Violation ,1/10/2003,2003,Suspension - 1 Day
156,NYC ,Criminal Arrest ,11/22/2003,2003,Removal
157,CHI ,Loss of Equipment ,1/23/2003,2003,No Further Action
158,BOS ,Failure to Follow Procedure ,12/31/2002,2002,No Further Action
159,BOS ,Unprofessional Conduct ,12/31/2002,2002,No Further Action
160,CLT ,Loss of Equipment ,1/24/2003,2003,Suspension - 2 Day
161,WFO ,Unprofessional Conduct ,1/23/2003,2003,Removal
162,HOU ,Victim Case ,1/3/2003,2003,
163,HOU ,Victim Case ,1/3/2003,2003,
164,LAX ,Making Misstatements/False ,1/24/2003,2003,Removal
165,SEA ,Failure to Honor Just Debts ,1/10/2003,2003,Resignation
166,MSP ,Loss of Equipment ,1/9/2003,2003,Letter of Reprimand
167,MIA ,Victim Case ,1/24/2003,2003,Resignation
168,CHI ,Failure to Honor Just Debts ,1/23/2003,2003,Suspension - 3 Day
169,DEN ,Failure to Follow Procedure ,1/27/2003,2003,No Further Action
170,DEN ,Failure to Follow Procedure ,1/27/2003,2003,No Further Action
171,ORL ,Unprofessional Conduct ,1/27/2003,2003,No Further Action
172,CHI ,Abuse of Position/Authority ,1/3/2003,2003,No Further Action
174,MIA ,Failure to Follow Procedure ,1/17/2003,2003,No Further Action
175,MIA ,Failure to Follow Procedure ,1/17/2003,2003,No Further Action
176,MIA ,Failure to Follow Procedure ,1/17/2003,2003,No Further Action
177,HOU ,Sleeping on Duty ,1/31/2003,2003,Letter of Counsel
178,PHL ,Unprofessional Conduct ,2/4/2003,2003,No Further Action
179,CIN ,Sexual Harassment ,12/1/2002,2002,Resignation
180,CHI ,Loss of Equipment ,1/10/2003,2003,Verbal Counsel
181,CLT ,Failure to Follow Procedure ,1/31/2003,2003,No Further Action
182,LAX ,Failure to Follow Procedure ,2/3/2003,2003,No Further Action
183,LAX ,Failure to Follow Procedure ,2/3/2003,2003,No Further Action
184,LAS ,Failure to Honor Just Debts ,2/3/2003,2003,Removal
